mean_reward,episode,batch,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
18.9,10,1,False,,,1,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-22-03,1690784523,12.968165397644043,12.968165397644043,1218,ip-10-0-1-90,10.0.1.90,12.968165397644043,0,1,0.2055363655090332
20.1,20,2,False,,,2,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-22-16,1690784536,13.54197883605957,26.510144233703613,1218,ip-10-0-1-90,10.0.1.90,26.510144233703613,0,2,0.2055363655090332
20.8,30,3,False,,,3,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-22-31,1690784551,14.494038105010986,41.0041823387146,1218,ip-10-0-1-90,10.0.1.90,41.0041823387146,0,3,0.2055363655090332
31.7,40,4,False,,,4,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-22-48,1690784568,17.543724298477173,58.54790663719177,1218,ip-10-0-1-90,10.0.1.90,58.54790663719177,0,4,0.2055363655090332
18.2,50,5,False,,,5,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-23-01,1690784581,12.617019653320312,71.16492629051208,1218,ip-10-0-1-90,10.0.1.90,71.16492629051208,0,5,0.2055363655090332
24.4,60,6,False,,,6,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-23-15,1690784595,14.018534898757935,85.18346118927002,1218,ip-10-0-1-90,10.0.1.90,85.18346118927002,0,6,0.2055363655090332
26.4,70,7,False,,,7,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-23-31,1690784611,15.468931913375854,100.65239310264587,1218,ip-10-0-1-90,10.0.1.90,100.65239310264587,0,7,0.2055363655090332
23.8,80,8,False,,,8,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-23-44,1690784624,12.7023344039917,113.35472750663757,1218,ip-10-0-1-90,10.0.1.90,113.35472750663757,0,8,0.2055363655090332
29.9,90,9,False,,,9,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-24-02,1690784642,18.855204582214355,132.20993208885193,1218,ip-10-0-1-90,10.0.1.90,132.20993208885193,0,9,0.2055363655090332
23.6,100,10,False,,,10,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-24-17,1690784657,14.695603609085083,146.905535697937,1218,ip-10-0-1-90,10.0.1.90,146.905535697937,0,10,0.2055363655090332
18.7,110,11,False,,,11,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-24-31,1690784671,14.162540435791016,161.06807613372803,1218,ip-10-0-1-90,10.0.1.90,161.06807613372803,0,11,0.2055363655090332
26.2,120,12,False,,,12,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-24-47,1690784687,15.67278265953064,176.74085879325867,1218,ip-10-0-1-90,10.0.1.90,176.74085879325867,0,12,0.2055363655090332
31.7,130,13,False,,,13,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-25-06,1690784706,19.21343994140625,195.95429873466492,1218,ip-10-0-1-90,10.0.1.90,195.95429873466492,0,13,0.2055363655090332
28.9,140,14,False,,,14,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-25-25,1690784725,18.714937210083008,214.66923594474792,1218,ip-10-0-1-90,10.0.1.90,214.66923594474792,0,14,0.2055363655090332
27.9,150,15,False,,,15,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-25-42,1690784742,17.129489421844482,231.7987253665924,1218,ip-10-0-1-90,10.0.1.90,231.7987253665924,0,15,0.2055363655090332
29.2,160,16,False,,,16,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-26-04,1690784764,21.586188554763794,253.3849139213562,1218,ip-10-0-1-90,10.0.1.90,253.3849139213562,0,16,0.2055363655090332
33.7,170,17,False,,,17,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-26-27,1690784787,23.502233266830444,276.88714718818665,1218,ip-10-0-1-90,10.0.1.90,276.88714718818665,0,17,0.2055363655090332
29.6,180,18,False,,,18,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-26-46,1690784806,18.93734645843506,295.8244936466217,1218,ip-10-0-1-90,10.0.1.90,295.8244936466217,0,18,0.2055363655090332
39.1,190,19,False,,,19,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-27-11,1690784831,24.50604748725891,320.3305411338806,1218,ip-10-0-1-90,10.0.1.90,320.3305411338806,0,19,0.2055363655090332
40.8,200,20,False,,,20,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-27-35,1690784855,24.78542971611023,345.11597084999084,1218,ip-10-0-1-90,10.0.1.90,345.11597084999084,0,20,0.2055363655090332
42.9,210,21,False,,,21,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-28-04,1690784884,28.330779790878296,373.44675064086914,1218,ip-10-0-1-90,10.0.1.90,373.44675064086914,0,21,0.2055363655090332
70.4,220,22,False,,,22,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-28-49,1690784929,44.949538230895996,418.39628887176514,1218,ip-10-0-1-90,10.0.1.90,418.39628887176514,0,22,0.2055363655090332
45.3,230,23,False,,,23,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-29-21,1690784961,32.632625102996826,451.02891397476196,1218,ip-10-0-1-90,10.0.1.90,451.02891397476196,0,23,0.2055363655090332
30.1,240,24,False,,,24,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-29-40,1690784980,18.75039029121399,469.77930426597595,1218,ip-10-0-1-90,10.0.1.90,469.77930426597595,0,24,0.2055363655090332
51.4,250,25,False,,,25,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-30-14,1690785014,34.21153163909912,503.9908359050751,1218,ip-10-0-1-90,10.0.1.90,503.9908359050751,0,25,0.2055363655090332
61.0,260,26,False,,,26,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-30-52,1690785052,37.77781057357788,541.768646478653,1218,ip-10-0-1-90,10.0.1.90,541.768646478653,0,26,0.2055363655090332
57.8,270,27,False,,,27,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-31-31,1690785091,38.83374571800232,580.6023921966553,1218,ip-10-0-1-90,10.0.1.90,580.6023921966553,0,27,0.2055363655090332
68.4,280,28,False,,,28,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-32-17,1690785137,46.40947389602661,627.0118660926819,1218,ip-10-0-1-90,10.0.1.90,627.0118660926819,0,28,0.2055363655090332
82.2,290,29,False,,,29,21638_00011,0e8c68563b7043e2b90f5fcff5b515a0,2023-07-30_23-33-12,1690785192,55.00642991065979,682.0182960033417,1218,ip-10-0-1-90,10.0.1.90,682.0182960033417,0,29,0.2055363655090332
