mean_reward,episode,batch,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
16.9,10,1,False,,,1,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-24-35,1690799075,12.787531614303589,12.787531614303589,9333,ip-10-0-1-198,10.0.1.198,12.787531614303589,0,1,0.20526552200317383
21.8,20,2,False,,,2,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-24-47,1690799087,12.42009949684143,25.20763111114502,9333,ip-10-0-1-198,10.0.1.198,25.20763111114502,0,2,0.20526552200317383
15.9,30,3,False,,,3,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-24-59,1690799099,12.154589414596558,37.36222052574158,9333,ip-10-0-1-198,10.0.1.198,37.36222052574158,0,3,0.20526552200317383
17.5,40,4,False,,,4,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-25-13,1690799113,14.028345108032227,51.390565633773804,9333,ip-10-0-1-198,10.0.1.198,51.390565633773804,0,4,0.20526552200317383
16.2,50,5,False,,,5,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-25-26,1690799126,12.39230489730835,63.78287053108215,9333,ip-10-0-1-198,10.0.1.198,63.78287053108215,0,5,0.20526552200317383
20.4,60,6,False,,,6,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-25-43,1690799143,17.18644380569458,80.96931433677673,9333,ip-10-0-1-198,10.0.1.198,80.96931433677673,0,6,0.20526552200317383
20.9,70,7,False,,,7,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-26-00,1690799160,16.80466318130493,97.77397751808167,9333,ip-10-0-1-198,10.0.1.198,97.77397751808167,0,7,0.20526552200317383
21.6,80,8,False,,,8,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-26-14,1690799174,13.820753335952759,111.59473085403442,9333,ip-10-0-1-198,10.0.1.198,111.59473085403442,0,8,0.20526552200317383
21.9,90,9,False,,,9,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-26-27,1690799187,13.63604187965393,125.23077273368835,9333,ip-10-0-1-198,10.0.1.198,125.23077273368835,0,9,0.20526552200317383
24.1,100,10,False,,,10,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-26-42,1690799202,14.890380382537842,140.1211531162262,9333,ip-10-0-1-198,10.0.1.198,140.1211531162262,0,10,0.20526552200317383
19.9,110,11,False,,,11,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-26-58,1690799218,15.966294765472412,156.0874478816986,9333,ip-10-0-1-198,10.0.1.198,156.0874478816986,0,11,0.20526552200317383
23.0,120,12,False,,,12,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-27-13,1690799233,14.93563961982727,171.02308750152588,9333,ip-10-0-1-198,10.0.1.198,171.02308750152588,0,12,0.20526552200317383
29.6,130,13,False,,,13,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-27-32,1690799252,18.763940572738647,189.78702807426453,9333,ip-10-0-1-198,10.0.1.198,189.78702807426453,0,13,0.20526552200317383
17.8,140,14,False,,,14,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-27-46,1690799266,14.228288650512695,204.01531672477722,9333,ip-10-0-1-198,10.0.1.198,204.01531672477722,0,14,0.20526552200317383
18.7,150,15,False,,,15,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-28-01,1690799281,15.334842205047607,219.35015892982483,9333,ip-10-0-1-198,10.0.1.198,219.35015892982483,0,15,0.20526552200317383
32.8,160,16,False,,,16,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-28-23,1690799303,21.185157537460327,240.53531646728516,9333,ip-10-0-1-198,10.0.1.198,240.53531646728516,0,16,0.20526552200317383
28.7,170,17,False,,,17,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-28-40,1690799320,17.514629125595093,258.04994559288025,9333,ip-10-0-1-198,10.0.1.198,258.04994559288025,0,17,0.20526552200317383
25.7,180,18,False,,,18,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-28-56,1690799336,15.551570177078247,273.6015157699585,9333,ip-10-0-1-198,10.0.1.198,273.6015157699585,0,18,0.20526552200317383
26.5,190,19,False,,,19,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-29-14,1690799354,18.653043746948242,292.25455951690674,9333,ip-10-0-1-198,10.0.1.198,292.25455951690674,0,19,0.20526552200317383
41.8,200,20,False,,,20,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-29-41,1690799381,26.442678928375244,318.697238445282,9333,ip-10-0-1-198,10.0.1.198,318.697238445282,0,20,0.20526552200317383
43.6,210,21,False,,,21,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-30-09,1690799409,28.660401105880737,347.3576395511627,9333,ip-10-0-1-198,10.0.1.198,347.3576395511627,0,21,0.20526552200317383
56.7,220,22,False,,,22,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-30-46,1690799446,36.24864363670349,383.6062831878662,9333,ip-10-0-1-198,10.0.1.198,383.6062831878662,0,22,0.20526552200317383
60.6,230,23,False,,,23,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-31-28,1690799488,42.61272692680359,426.2190101146698,9333,ip-10-0-1-198,10.0.1.198,426.2190101146698,0,23,0.20526552200317383
73.6,240,24,False,,,24,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-32-16,1690799536,47.61555027961731,473.8345603942871,9333,ip-10-0-1-198,10.0.1.198,473.8345603942871,0,24,0.20526552200317383
97.7,250,25,False,,,25,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-33-15,1690799595,59.44421720504761,533.2787775993347,9333,ip-10-0-1-198,10.0.1.198,533.2787775993347,0,25,0.20526552200317383
88.1,260,26,False,,,26,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-34-09,1690799649,53.53619456291199,586.8149721622467,9333,ip-10-0-1-198,10.0.1.198,586.8149721622467,0,26,0.20526552200317383
104.4,270,27,False,,,27,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-35-16,1690799716,66.77468037605286,653.5896525382996,9333,ip-10-0-1-198,10.0.1.198,653.5896525382996,0,27,0.20526552200317383
134.5,280,28,False,,,28,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-36-45,1690799805,89.53241777420044,743.1220703125,9333,ip-10-0-1-198,10.0.1.198,743.1220703125,0,28,0.20526552200317383
131.6,290,29,False,,,29,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-38-09,1690799889,84.32030987739563,827.4423801898956,9333,ip-10-0-1-198,10.0.1.198,827.4423801898956,0,29,0.20526552200317383
152.1,300,30,False,,,30,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-39-50,1690799990,100.44743227958679,927.8898124694824,9333,ip-10-0-1-198,10.0.1.198,927.8898124694824,0,30,0.20526552200317383
146.3,310,31,False,,,31,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-41-30,1690800090,100.39883351325989,1028.2886459827423,9333,ip-10-0-1-198,10.0.1.198,1028.2886459827423,0,31,0.20526552200317383
159.6,320,32,False,,,32,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-43-14,1690800194,103.40359497070312,1131.6922409534454,9333,ip-10-0-1-198,10.0.1.198,1131.6922409534454,0,32,0.20526552200317383
175.7,330,33,False,,,33,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-45-11,1690800311,117.34524941444397,1249.0374903678894,9333,ip-10-0-1-198,10.0.1.198,1249.0374903678894,0,33,0.20526552200317383
208.3,340,34,False,,,34,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-47-29,1690800449,137.9946882724762,1387.0321786403656,9333,ip-10-0-1-198,10.0.1.198,1387.0321786403656,0,34,0.20526552200317383
235.4,350,35,False,,,35,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-50-06,1690800606,157.28498458862305,1544.3171632289886,9333,ip-10-0-1-198,10.0.1.198,1544.3171632289886,0,35,0.20526552200317383
215.9,360,36,False,,,36,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-52-29,1690800749,143.08416628837585,1687.4013295173645,9333,ip-10-0-1-198,10.0.1.198,1687.4013295173645,0,36,0.20526552200317383
283.7,370,37,False,,,37,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-55-41,1690800941,191.0239748954773,1878.4253044128418,9333,ip-10-0-1-198,10.0.1.198,1878.4253044128418,0,37,0.20526552200317383
264.3,380,38,False,,,38,21638_00027,1c8fdf19311445579cebf222f5596ad6,2023-07-31_03-58-43,1690801123,182.1194474697113,2060.544751882553,9333,ip-10-0-1-198,10.0.1.198,2060.544751882553,0,38,0.20526552200317383
