mean_reward,episode,batch,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
13.8,10,1,False,,,1,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-22-31,1690734151,9.245871543884277,9.245871543884277,1217,ip-10-0-1-133,10.0.1.133,9.245871543884277,0,1,0.19880270957946777
15.0,20,2,False,,,2,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-22-41,1690734161,10.204192399978638,19.450063943862915,1217,ip-10-0-1-133,10.0.1.133,19.450063943862915,0,2,0.19880270957946777
14.2,30,3,False,,,3,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-22-51,1690734171,9.992191076278687,29.4422550201416,1217,ip-10-0-1-133,10.0.1.133,29.4422550201416,0,3,0.19880270957946777
19.4,40,4,False,,,4,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-23-05,1690734185,14.239602327346802,43.6818573474884,1217,ip-10-0-1-133,10.0.1.133,43.6818573474884,0,4,0.19880270957946777
23.6,50,5,False,,,5,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-23-19,1690734199,13.538775444030762,57.220632791519165,1217,ip-10-0-1-133,10.0.1.133,57.220632791519165,0,5,0.19880270957946777
26.8,60,6,False,,,6,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-23-35,1690734215,16.728735208511353,73.94936800003052,1217,ip-10-0-1-133,10.0.1.133,73.94936800003052,0,6,0.19880270957946777
20.1,70,7,False,,,7,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-23-51,1690734231,15.473670959472656,89.42303895950317,1217,ip-10-0-1-133,10.0.1.133,89.42303895950317,0,7,0.19880270957946777
26.8,80,8,False,,,8,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-24-09,1690734249,17.93421769142151,107.35725665092468,1217,ip-10-0-1-133,10.0.1.133,107.35725665092468,0,8,0.19880270957946777
34.0,90,9,False,,,9,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-24-31,1690734271,21.78178834915161,129.1390450000763,1217,ip-10-0-1-133,10.0.1.133,129.1390450000763,0,9,0.19880270957946777
28.6,100,10,False,,,10,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-24-52,1690734292,21.504183292388916,150.6432282924652,1217,ip-10-0-1-133,10.0.1.133,150.6432282924652,0,10,0.19880270957946777
40.1,110,11,False,,,11,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-25-19,1690734319,27.330739736557007,177.97396802902222,1217,ip-10-0-1-133,10.0.1.133,177.97396802902222,0,11,0.19880270957946777
39.7,120,12,False,,,12,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-25-45,1690734345,25.581908464431763,203.55587649345398,1217,ip-10-0-1-133,10.0.1.133,203.55587649345398,0,12,0.19880270957946777
29.4,130,13,False,,,13,ec717_00007,d1e2e932d2524fa1b8854fb2a84a9310,2023-07-30_09-26-08,1690734368,22.668173789978027,226.224050283432,1217,ip-10-0-1-133,10.0.1.133,226.224050283432,0,13,0.19880270957946777
