mean_reward,episode,batch,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
23.4,10,1,False,,,1,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-22-29,1690734149,7.032005786895752,7.032005786895752,1220,ip-10-0-1-198,10.0.1.198,7.032005786895752,0,1,0.2084062099456787
21.1,20,2,False,,,2,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-22-35,1690734155,6.447602033615112,13.479607820510864,1220,ip-10-0-1-198,10.0.1.198,13.479607820510864,0,2,0.2084062099456787
20.0,30,3,False,,,3,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-22-43,1690734163,8.02046799659729,21.500075817108154,1220,ip-10-0-1-198,10.0.1.198,21.500075817108154,0,3,0.2084062099456787
24.9,40,4,False,,,4,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-22-52,1690734172,8.534404993057251,30.034480810165405,1220,ip-10-0-1-198,10.0.1.198,30.034480810165405,0,4,0.2084062099456787
19.8,50,5,False,,,5,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-23-00,1690734180,8.238358497619629,38.272839307785034,1220,ip-10-0-1-198,10.0.1.198,38.272839307785034,0,5,0.2084062099456787
20.4,60,6,False,,,6,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-23-08,1690734188,8.580943584442139,46.85378289222717,1220,ip-10-0-1-198,10.0.1.198,46.85378289222717,0,6,0.2084062099456787
16.8,70,7,False,,,7,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-23-16,1690734196,7.1853837966918945,54.03916668891907,1220,ip-10-0-1-198,10.0.1.198,54.03916668891907,0,7,0.2084062099456787
21.9,80,8,False,,,8,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-23-22,1690734202,6.927529335021973,60.96669602394104,1220,ip-10-0-1-198,10.0.1.198,60.96669602394104,0,8,0.2084062099456787
19.0,90,9,False,,,9,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-23-31,1690734211,8.257945775985718,69.22464179992676,1220,ip-10-0-1-198,10.0.1.198,69.22464179992676,0,9,0.2084062099456787
19.8,100,10,False,,,10,ec717_00010,71108857b0d34dc4bf6dd4cc4c64dd4c,2023-07-30_09-23-40,1690734220,8.896316766738892,78.12095856666565,1220,ip-10-0-1-198,10.0.1.198,78.12095856666565,0,10,0.2084062099456787
